Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
36,Country,Switzerland,556,11/03/2012,"""Fiscal incentives for acquistion of private residential property, energy saving and limiting environmental impact""",Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen (Bauspar-Initiative)»,Initiative populaire «Pour un traitement fiscal privilégié de l’épargne-logement destinée à l’acquisition d’une habitation à usage personnel ou au financement de travaux visant à économiser l’énergie ou à préserver l’environnement» (initiative sur l’épargne-logement),Iniziativa popolare del 29.09.2008 'per agevolare fiscalmente il risparmio per l'alloggio destinato all'acquisto di una proprietà abitativa ad uso proprio e per finanziare misure edilizie di risparmio energetico e di protezione dell'ambiente (Iniziativa sul risparmio per l'alloggio)',,,,,,98,62,8,16,24,Not known,Rejection,5139055,129644,2311923,86188,7637,980273,1237825,4.5,18.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde von einem Komitee um den früheren Baselbieter FDP-Nationalrat Hans-Rudolf Gysin lanciert und getragen. Siehe auch Schweizerische Gesellschaft zur Förderung des Bausparens und www.bausparen.ch  ,Das Parlament hat zur «Bauspar-Initiative» keine Empfehlung beschlosse  da der Nationalrat und Ständerat sich nicht einigen konnten. Siehe Erklärungen im Dokument «Parliamentary-Delibration»,Public finance | Tax policy | Budget cuts and remediation measures,44.99,2218098,44.19,55.81,no,
37,Country,Switzerland,557,11/03/2012,"""Six weeks holidays for all""",Volksinitiative «6 Wochen Ferien für alle»,Initiative populaire «6 semaines de vacances pour tous»,Iniziativa popolare del 26.06.2009 '6 settimane di vacanza per tutti',,,,,,61,122,2,10,32,0,Rejection,5139055,129644,2334005,23794,6508,771717,1531986,0,23,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde vom Gewerkschaftsdachverband Travailsuisse lanciert. www.sechswochenferien.ch,,Employment conditions | Working hours | Health,45.42,2303703,33.5,66.5,no,
38,Country,Switzerland,554,13/02/2011,"""Protection from gun violence""","Volksinitiative ""Für den Schutz vor Waffengewalt""",Initiative populaire «Pour la protection face à la violence des armes»,Iniziativa popolare del 23.02.2009 'Per la protezione dalla violenza perpetrata con le armi',,,,,,69,119,4,11,30,1,Rejection,5091652,123786,2501260,15117,7019,1083312,1395812,5.5,17.5,none,,,,,,Initiative (Formulated Draft),,,,,Armed forces - general | Public security | none,49.12,2479124,43.7,56.3,no,
39,Country,Switzerland,552,28/11/2010,"""Expulsion of criminal foreigners"" (Deportation initiative)","Volksinitiative ""Für die Ausschaffung krimineller Ausländer (Ausschaffungsinititative)""",Initiative populaire «Pour le renvoi des étrangers criminels» (Initiative sur le renvoi),Iniziativa popolare del 15.02.2008 'Per l’espulsione degli stranieri che commettono reati (Iniziativa espulsione)',,,,,,82,92,19,5,26,10,Rejection,5084053,123164,2690799,6217,9955,1397923,1243942,17.5,5.5,linked,Federal Decree of 10 june 2010 on the deporting of criminal foreigners (Counter-proposal),32762,1252761,13/04/2002,150501,Initiative (Formulated Draft),,,SVP  http://www.ausschaffungsinitiative.ch/,,Fundamental rights | Immigration policy | Cultural policy,52.93,2674627,52.91,47.09,yes,
40,Country,Switzerland,552,28/11/2010,Deportation of criminal foreigners (Counter-proposal to people's initiative on exulsion of foreigners),Bundesbeschlus vom 10. Juni 2010 über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer im Rahmen der Bundesverfassung (Gegenentwurf),Arrêté fédéral concernant l'expulsion et le renvoi des criminels étrangers dans le respect de la Constitution (contre-projet à l’initiative populaire «Pour le renvoi des étrangers criminels»,"Decreto federale del 10.06.2010 concernente l’espulsione e l’allontanamento, nel rispetto della Costituzione federale, degli stranieri che commettono reati (controprogetto all’iniziativa popolare 'Per l’espulsione degli stranieri che commettono reati [Iniziativa espulsione]')",,,,,,92,82,19,26,5,0,Acceptance,5084053,123164,2690799,6217,9955,1189269,1407830,0,23,linked,"Citizens initiative ""for the expulsion of criminal foreigners"" (expulsion initiative)",77528,1271365,8,150501,Constitutional Referendum (Counter-draft),,,,,Fundamental rights | Immigration policy | Cultural policy,52.93,2674627,45.79,54.21,no,
41,Country,Switzerland,553,28/11/2010,"""For equitables taxes""","Volksinitiative ""Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewrb (Steuergerechtigkeits-Initiative)""",Initiative populaire «Pour des impôts équitables. Stop aux abus de la concurrence fiscale» (Initiative pour des impôts équitables),Iniziativa popolare 'Per imposte eque. Basta con gli abusi nella concorrenza fiscale (Iniziativa per imposte eque)',,,,,,64,128,2,11,29,1,Rejection,5084053,123164,2662110,68564,9728,1073229,1510589,19.5,3.5,none,,,,,,Initiative (General Suggestion),,,,,Tax policy | Tax system | Direct taxation,52.36,2583818,41.54,58.46,no,
42,Country,Switzerland,551,26/09/2010,Law on unemployment insurance,Revision des Arbeitslosenversicherungsgesetzes,"Modification de la loi fédérale sur l’assurance-chômage obligatoire et l’indemnité en cas d’insolvabilité (loi sur l’assurance-chômage, LACI)","Modifica del 19.03.2010 della legge federale su l’assicurazione obbligatoria contro la disoccupazione e l’indennità per insolvenza (legge sull’assicurazione contro la disoccupazione, LADI)",,,,,,91,64,37,32,12,0,Acceptance,5077180,121768,1819477,19165,5298,958913,836101,Not known,Not known,none,,,,,,Optional Legislative Referendum (Federal Statutes),,,,,Unemployment insurance | none | none,35.84,1795014,53.42,46.58,yes,
43,Country,Switzerland,548,07/03/2010,Constitutional amendment on research on humans,Bundesbeschluss vom 25.09.2009 zu einem Verfassungsartikel über die Forschung am Menschen,Arrêté fédéral du 25.09.2009 relatif à un article constitutionnel concernant la recherche sur l'être humain,Decreto federale del 25.09.2009 su un articolo costituzionale concernente la ricerca sull'essere umano,,,,,,144,61,18,46,0,0,Acceptance,5051169,121431,2297548,75974,8919,1708488,504167,23,0,none,,,,,,Constitutional Referendum (Partialrevision),,,"Wissenschaftliche Kommitee ""Ja zur Forschung am Menschen"".",,Research | Universities | none,45.49,2212655,77.21,22.79,yes,
44,Country,Switzerland,549,07/03/2010,"""Against animal cruelty and for better legal protection of animals""",Volksinitiative vom 26.07.2007 'Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere (Tierschutzanwalt-Initiative)',Initiative populaire «Contre les mauvais traitements envers les animaux et pour une meilleure protection juridique de ces derniers» (Initiative pour l'institution d'un avocat de la protection des animaux),Iniziativa popolare del 26.07.2007 'Contro il maltrattamento e per una migliore protezione giuridica degli animali (Iniziativa sull’avvocato degli animali)',,,,,,130,50,13,30,6,2,Rejection,5051169,121431,2314490,30171,7447,671731,1605141,0,23,none,,,,,,Initiative (Formulated Draft),144844,,Schweizer Tierschutz STS Protection Suisse des Animaux PSA Protezione Svizzera degli animali PSA,,Animal protection | none | none,45.82,2276872,29.5,70.5,no,
45,Country,Switzerland,550,07/03/2010,"Law on the old age-, widows- and orphans occupational pensions (Minimum conversion rate)",Änderung vom 19.12.2008 über das Bundesgesetzes über die berufliche Alters-  Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz),Modification du 19.12.2008 de la loi fédérale sur la prévoyance professionnelle vieillesse survivants et invalidité (LPP) (Taux de conversion minimal),"Modifica del 19.12.2008 della legge federale sulla previdenza professionale per la vecchiaia, i superstiti e l’invalidità (LPP) (Aliquota minima di conversione)",,,,,,126,62,6,35,1,6,Acceptance,5051169,121431,2311052,39967,7507,617209,1646369,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),122 757,,"Pro:  Kommitee ""Fairer Umwandlungssatz für sichere Renten""  Contra: ""Bündnis gegen den Rentenklau""",,Pension insurance | none | none,45.75,2263578,27.27,72.73,no,
46,Country,Switzerland,545,29/11/2009,Constitutional amendment on the creation of a special air traffic fund,Bundesbeschluss vom 03.10.2008 zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr,Arrêté fédéral sur la création d'un financement spécial en faveur de tâches dans le domaine du trafic aérien du 3 octobre 2008,Decreto federale del 03.10.2008 concernente la creazione di un sistema di finanziamento speciale per compiti connessi al traffico aereo,,,,,,124,63,4,33,7,3,Acceptance,5039676,120283,2652205,163305,12105,1609682,867113,23,0,none,,,,,,Constitutional Referendum (Partialrevision),,,"Kommitee ""für Sicherheit und Umweltschutz im Luftverkehr""",,Air transport | Tax policy | none,52.63,2476795,64.99,35.01,yes,
47,Country,Switzerland,546,29/11/2009,"""Banning arms exports""","Volksinitiative vom 21.09.2007 ""Für ein Verbot von Kriegsmaterial-Exporten""",Initiative populaire «Pour l'interdiction d'exporter du matériel de guerre»,Iniziativa popolare del 21.09.2007 'Per il divieto di esportare materiale bellico',,,,,,63,131,0,7,35,3,Rejection,5039676,120283,2690488,45910,9290,837156,1798132,0,23,none,,,,,,Initiative (Formulated Draft),,,Bündnis gegen Kriegsmaterial-Exporte,,Arms | Foreign trade policy | none,53.39,2635288,31.77,68.23,no,
48,Country,Switzerland,547,29/11/2009,"""Against the construction of minarets""","Volksinitiative vom 08.07.2008 ""Gegen den Bau von Minaretten""",Initiative populaire «Contre la construction de minarets»,Iniziativa popolare dell'08.07.2008 'Contro l'edificazione di minareti',,,,,,51,132,11,3,39,2,Rejection,5039676,120283,2709287,30519,9318,1535010,1134440,19.5,3.5,none,,,,,,Initiative (Formulated Draft),,,"Initiativ Kommitee ""Gegen den Bau von Minaretten"".",,Fundamental rights | Religion - churches | none,53.76,2669450,57.5,42.5,yes,
49,Country,Switzerland,543,27/09/2009,Temporary funding of disability insurance through an increase in VAT rate,Bundesbeschluss vom 13.06.2008 über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze  geändert durch den Bundesbeschluss vom 12.06.2009 über die Änderung dieses Beschlusses,Arrêté fédéral relatif au financement additionnel de l'AI par un relèvement temporaire des taux de la TVA modifié par l'arrêté fédéral portant modification de cet arrêté,"Decreto federale del 13.06.2008 sul finanziamento aggiuntivo temporaneo dell’assicurazione invalidità mediante l’aumento delle aliquote dell’imposta sul valore aggiunto, modificato dal decreto federale del 12.06.2009 concernente la modifica di questo decreto",,,,,,114,9,71,34,4,4,Acceptance,5030915,119503,2063128,17630,5950,1112818,926730,12,11,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Financial system | Disability insurance | Indirect taxation,41.01,2039548,54.56,45.44,yes,
50,Country,Switzerland,544,27/09/2009,Suspension of the introduction of a general people's initiative,Bundesbeschluss vom 19.12.2008 über den Verzicht auf die Einführung der allgemeinen Volksinitiative,Arrêté fédéral portant suppression de l'initiative populaire générale,Decreto federale del 19.12.2008 concernente la rinuncia all’introduzione dell’iniziativa popolare generica,,,,,,178,1,15,42,0,1,Acceptance,5030915,119503,2034093,100726,7466,1307237,618664,23,,none,,,,,,Constitutional Referendum (Partialrevision),0,,,,Citizens' rights | Citizen's initiatives | none,40.43,1925901,67.88,32.12,yes,
51,Country,Switzerland,541,17/05/2009,"""For a future with alternative medicine""",Verfassungsartikel vom 03.10.2008 'Zukunft mit Komplementärmedizin',Article constitutionnel «Pour la prise en compte des médecines complémentaires»,Articolo costituzionale del 03.10.2008 'Un futuro con la medicina complementare',,,,,,152,16,24,41,0,2,Acceptance,5010873,118387,1944259,23413,5392,1283894,631560,23,0,none,,,,,,Constitutional Referendum (Counter-draft),138724,,Ja zur Komplementärmedizin Ja zur Komplementärmedizin Ja zur Komplementärmedizin,,Health policy | Health | Health and accident insurance,38.8,1915454,67.03,32.97,yes,
52,Country,Switzerland,542,17/05/2009,Biometric passports and travel documents (further development of the rights vested in Schengen accord with the European Community),Bundesbeschluss vom 13.06.2008 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der Europäischen Gemeinschaft betreffend die Übernahme der Verordnung (EG) Nr. 2252/2004 über biometrische Pässe und Reisedokumente (Weiterentwicklung des Schengen-Besitzstands),Arrêté fédéral portant approbation et mise en oeuvre de l'échange de notes entre la Suisse et la Communauté européenne concernant la reprise du Règlement (CE) 2252/2004 relatif aux passeports biométriques et aux documents de voyage (Développement de l'Acquis de Schengen),Decreto federale del 13.06.2008 che approva e traspone nel diritto svizzero lo scambio di note tra la Svizzera e la Comunità europea concernente il recepimento del regolamento (CE) n. 2252/2004 sui passaporti e i documenti di viaggio biometrici (Sviluppo dell’acquis di Schengen),,,,,,94,81,12,36,2,3,Acceptance,5010873,118387,1942857,36473,5718,953173,947493,,,none,,,,,,Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes),63733,,,,Data protection | Bilateral treaties | Citizenship,38.77,1900666,50.15,49.85,yes,
53,Country,Switzerland,540,08/02/2009,Renewal of the agreement on the free movement of people between Switzerland and the European Community and extension to Bulgaria and Romania,Bundesbeschluss vom 13.06.2008 über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft und ihren Mitgliedstaaten sowie über die Genehmigung und die Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf Bulgarien und Rumänien,Arrêté fédéral portant approbation de la reconduction de l'accord entre la Suisse et la Communauté européenne et ses Etats membres sur la libre circulation des personnes ainsi qu'approbation et mise en oeuvre du protocole visant à étendre l'accord sur la libre circulation à la Bulgarie et à la Roumanie,Decreto federale del 13.06.2008 che approva il rinnovo dell’Accordo tra la Svizzera e la Comunità europea ed i suoi Stati membri sulla libera circolazione delle persone e approva e traspone nel diritto svizzero il Protocollo relativo all’estensione alla Bulgaria e alla Romania dell’Accordo sulla libera circolazione delle persone,,,,,,143,40,6,35,2,4,Acceptance,4999618,116452,2572040,18897,8112,1517132,1027899,,,none,,,,,,Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes),51348,,,,EU | Bilateral treaties | Employment,51.44,2545031,59.61,40.39,yes,
54,Country,Switzerland,535,30/11/2008,"""For no statute of limitation for pornographic crimes against children""",Volksinitiative vom 01.03.2006 'für die Unverjährbarkeit pornografischer Straftaten an Kindern',Initiative populaire «Pour l'imprescriptibilité des actes de pornographie enfantine»,Iniziativa popolare del 01.03.2006 'Per l'imprescrittibilità dei reati di pornografia infantile',,,,,,19,163,5,0,41,,Rejection,4996626,116650,2374312,40912,7958,1206323,1119119,18,5,none,,,0,,0,Initiative (Formulated Draft),119375,,Marche BlancheMarche BlancheMarche Blanche,,Criminal law | Children and young people | none,47.52,2325442,51.87,48.13,yes,
55,Country,Switzerland,536,30/11/2008,"""For a flexible retirement age under the old age insurance""",Volksinitiative vom 28.03.2006 'Für ein flexibles AHV-Alter',Initiative populaire «Pour un âge de l'AVS flexible»,Iniziativa popolare del 28.03.2006 'Per un'età di pensionamento flessibile',,,,,,61,127,2,7,32,3,Rejection,4996626,116650,2380196,27686,7691,970221,1374598,4,19,none,,,0,,0,Initiative (Formulated Draft),106507,,Initiativkomitee 'Für ein flexibles AHV-Alter'Comité d'initiative 'pour un âge de l'AVS flexible'Comitato promotore dell'iniziativa 'per un'età di pensionamento flessibile',,Pension insurance | Senior citizens | none,47.64,2344819,41.38,58.62,no,
56,Country,Switzerland,537,30/11/2008,"""Right to appeal for organisations: enough obstruction - more growth for Switzerland!""",Volksinitiative vom 11.05.2006 'Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!',Initiative populaire «Droit de recours des organisations: Assez d'obstructionnisme - Plus de croissance pour la Suisse!»,Iniziativa popolare del 11.05.2006 'Diritto di ricorso delle associazioni: basta con la politica ostruzionista - Più crescita per la Svizzera!»,,,,,,90,94,10,9,30,3,Rejection,4996626,116650,2359213,75453,8527,773467,1501766,0,23,none,,,0,,0,Initiative (Formulated Draft),118958,,Schluss mit der VerhinderungspolitikSchluss mit der VerhinderungspolitikSchluss mit der Verhinderungspolitik,,Environment | Legal system | none,47.22,2275233,34,66,no,
57,Country,Switzerland,538,30/11/2008,"""For a reasonable marijuana policy and effective protection of youth""",Volksinitiative vom 13.01.2006 'für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz',Initiative populaire «Pour une politique raisonnable en matière de chanvre protégeant efficacement la jeunesse»,Iniziativa popolare del 13.01.2006 'per una politica della canapa che sia ragionevole e che protegga efficacemente i giovani',,,,,,73,111,10,18,19,4,Rejection,4996626,116650,2365431,52198,8348,846985,1457900,0,23,none,,,0,,0,Initiative (Formulated Draft),105994,,Pro Jugendschutz - gegen Drogenkriminalität (PJgD)Protéger la jeunesse contre la narco-criminalité (PJCN)Tutela della gioventù contro il narco-traffico (TGCN),,Addictive substances | Children and young people | none,47.34,2304885,36.75,63.25,no,
