Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
179,Country,Switzerland,99,1925-05-24,"Citizen's initiative ""Disability  old age-  widows- and orphans insurance""",Eidgenössische Volksinitiative 'für eine Invaliditäts-  Alters- und Hinterlassenenversicherung' (AHV),Initiative populaire visant l'insertion dans la constitution fédérale d'un article 34quater (création d'un fonds pour l'assurance-invalidité  vieillesse et survivants),Iniziativa popolare per l'assicurazione invalidità  vecchiaia e superstiti (Iniziativa Rothenberger),,,,,,,None,1008865,0,688402,13577,2169,282527,390129,6,16,none,,,0,,0,Initiative (Formulated Draft),78990,,Sozialdemokratische ParteiParti socialiste suisse,,Pension insurance | Direct taxation | none,68.23,672656,42,58,no,
180,Country,Switzerland,96,1923-04-15,"Citizen's initiative ""Maintaining and protecting the people's rights in customs matters""",Eidgenössische Volksinitiative 'zur Wahrung der Volksrechte in der Zollfrage',Initiative populaire pour la garantie des droits populaires dans la question douanière (article 29 de la Constitution fédérale ),Iniziativa popolare 'per la garanzia dei diritti popolari in materia doganale',,,,,,,None,990202,0,651159,10813,1450,171020,467876,0.5,21.5,none,,,0,,0,Initiative (Formulated Draft),151321,,Sozialdemokratische Partei  COOP und VSKParti socialiste suisse,,Customs | Referendum | none,65.76,638896,26.77,73.23,no,
181,Country,Switzerland,94,1923-02-18,"Citizen's initiative ""Preventive detention"" (for Swiss citizens endangering internal security)",Eidgenössische Volksinitiative 'Schutzhaft',"Initiative populaire sur ""l'arrestation des citoyens suisses qui compromettent la sûreté intérieure du pays''",Iniziativa popolare concernente 'l'arresto dei cittadini svizzeri che minacciano la sicurezza interna del paese',,,,,,,None,989661,0,526876,25109,1016,55145,445606,,22,none,,,0,,0,Initiative (Formulated Draft),62323,,Ad-hoc-Komitee gegen den BolschewismusComité ad-hoc,,State security | Fundamental rights | Criminal law,53.24,500751,11.01,88.99,no,
182,Country,Switzerland,93,1922-12-03,"Citizen's initiative ""For a one-off capital tax""",Eidgenössische Volksinitiative 'für die Einmalige Vermögensabgabe',Initiative populaire concernant le prélèvement d'un impôt unique sur la fortune (article 42bis de la Constitution),Iniziativa popoplare per 'la riscossione una volta tanto di un prelevamento sul patrimonio',,,,,,,None,992523,0,856148,7525,1969,109702,736952,,22,none,,,0,,0,Initiative (Formulated Draft),87535,,Sozialdemokratische ParteiParti socialiste suisse,,Direct taxation | Budget cuts and remediation measures | Social security,86.29,846654,12.96,87.04,no,
183,Country,Switzerland,89,1922-06-11,"Citizen's initiative part I ""Naturalisation""",Eidgenössische Volksinitiative 'betreffend die Erlangung des Schweizerbürgerrechts  Teil I',Initiative populaire concernant 'les naturalisations  partie I',Iniziativa popolare concernente le 'naturalizzazioni  part. I',,,,,,,None,976105,0,445100,30259,1025,65828,347988,,22,none,,,0,,0,Initiative (Formulated Draft),59812,,Ad-hoc-Komitee aus Republikanern des Kantons AG  der Neuen Helvetischen Gesellschaft  'Pilori' und 'Schweizerbanner',,Immigration policy | Citizenship | none,45.59,413816,15.91,84.09,no,
184,Country,Switzerland,90,1922-06-11,"Citizen's initiative part II ""Expulsion of foreigners""",Eidgenössische Volksinitiative 'betreffend die Ausweisung von Ausländern  Teil II',Initiative populaire concernant 'l'expulsion pour atteinte à la sécurité du pays  partie II'),Iniziativa popolare concernente 'l'espulsione per atti che mettono in pericolo la sicurezza del paese  part. II',,,,,,,None,976105,0,445100,25991,1028,159200,258881,,22,none,,,0,,0,Initiative (Formulated Draft),59812,,Ad-hoc-Komitee aus Republikanern des Kantons AG  der Neuen Helvetischen Gesellschaft  'Pilori' und 'Schweizerbanner',,Immigration policy | State security | none,45.59,418081,38.08,61.92,no,
185,Country,Switzerland,91,1922-06-11,"Citizen's initiative ""Eligibility of civil servants for the National Council""",Eidgenössische Volksinitiative 'betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat',"Initiative populaire sur ""l'éligibilité des fonctionnaires fédéraux au Conseil national''",Iniziativa popolare concernente 'l'eleggibilità dei funzionari federali al Consiglio Nazionale',,,,,,,None,976105,0,445100,26433,1017,160181,257469,5,17,none,,,0,,0,Initiative (Formulated Draft),57139,,Foederativverband,,"Parliament | Government, administration | Electoral system",45.59,417650,38.35,61.65,no,
186,Country,Switzerland,85,1921-01-30,"Citizen's initiative ""For the introduction of a referendum on treaties with unlimited duration or with a duration of more than 15 years"" (Referendum on international treaties)",Eidgenössische Volksinitiative 'für die Unterstellung von unbefristeten oder für eine Dauer von mehr als 15 Jahren abgeschlossenen Staatsverträgen unter das Referendum (Staatsvertragsreferendum)',Initiative populaire concernant la soumission de traités internationaux au référendum,Iniziativa popolare 'per sottoporre al referendum i trattati internazionali',,,,,,,None,967289,0,610411,48783,3076,398548,160004,20,2,none,,,0,,0,Initiative (Formulated Draft),64391,,Waadtländer-Komitee gegen den Gotthardvertrag.,,Referendum | Position on foreign policy | none,63.11,558542,71.35,28.65,yes,
187,Country,Switzerland,86,1921-01-30,"Citizen's initiative ""Abolition of military courts""",Eidgenössische Volksinitiative 'für die Aufhebung der Militärjustiz',Initiative populaire 'Suppression de la justice millitaire' ,Iniziativa popolare 'per la soppressione della giustizia militare',,,,,,,None,967289,0,610411,15837,2727,198696,393151,3,19,none,,,0,,0,Initiative (Formulated Draft),118996,,Sozialdemokratische ParteiParti socialiste suisse,,Armed forces - general | Criminal law | none,63.11,591847,33.57,66.43,no,
188,Country,Switzerland,82,1920-03-21,"Citizen's initiative ""Prohibition on the setting up of casinos""",Bundesbeschluss über die Volksinitiative 'für ein Verbot der Errichtung von Spielbanken',Arrêté fédéral concernant l'initiative populaire pour la modification de l'article 35 de la constitution fédérale (interdiction des maisons de jeux) (initiative et contre-projet),Decreto federale sull'iniziativa popolare per un 'divieto di istituire case di giuoco'(iniziativa e controprogetto),,,,,,,None,957386,0,576656,23138,45538,276021,223122,14,8,linked,"Counter proposal to the citizen's initiative ""Prohibition on the setting up of casinos""",,0,,0,Initiative (Formulated Draft),117494,,Ad-hoc-KomiteeComité ad-hoc,,Structural policy | Lottery and gambling | none,60.22,499143,55.3,44.7,yes,yes
189,Country,Switzerland,77,1918-10-13,"Citizen's initiative ""Proportional election of the National Council""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire tendant à l'application du système proportionnel aux élections du Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,None,936336,0,463302,8892,5825,299550,149035,19.5,2.5,none,,,0,,0,Initiative (Formulated Draft),122631,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,49.47,448587,66.78,33.22,yes,
190,Country,Switzerland,76,1918-06-02,"Citizen's initiative ""Introduction of a direct federal tax""",Eidgenössische Volksinitiative 'für die Einführung der direkten Bundessteuer',Initiative populaire pour l'insertion dans la constitution fédérale d'un article 41bis et la modification de l'article 42  lettre f  de cette constitution (introduction de l'impôt fédéral direct),Iniziativa popolare per l'introduzione dell'imposta federale diretta,,,,,,,None,936096,0,612171,4332,5290,276735,325814,7.5,14.5,none,,,0,,0,Initiative (Formulated Draft),116864,,Sozialdemokratische ParteiParti socialiste suisse,,Direct taxation | none | none,65.4,602549,45.93,54.07,no,
191,Country,Switzerland,70,1910-10-23,"Citizen's initiative ""Proportional election of the National Council""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire tendant à appliquer le système proportionnel aux élections pour le Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,None,823679,0,513534,6064,1971,240305,265194,12,10,none,,,0,,0,Initiative (Formulated Draft),142263,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,62.34,505499,47.54,52.46,no,
192,Country,Switzerland,68,1908-07-05,"Citizen'snitiative ""Ban on absinthe""",Eidgenössische Volksinitiative 'für ein Absinthverbot',Initiative populaire concernant l'interdiction de l'absinthe,Iniziativa popolare per un divieto dell'assenzio,,,,,,,None,809545,0,399217,15451,4019,241078,138669,20,2,none,,,0,,0,Initiative (Formulated Draft),167814,,Zentralstelle zur Bekämpfung des Alkoholismus,,Addictive substances | none | none,49.31,379747,63.48,36.52,yes,
193,Country,Switzerland,62,1903-10-25,"Citizen's initiative ""Election of the National Council on the basis of the Swiss residential population""",Eidgenössische Volksinitiative 'für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung',Initiative populaire concernant la révision de l'article 72 de la constitution fédérale (élection du Conseil national basée sur la population de nationalité suisse),Iniziativa popolare per' l'elezione del Consiglio nazionale in base alla popolazione svizzera',,,,,,,None,768105,0,409039,13460,5363,95131,295085,4,18,none,,,0,,0,Initiative (Formulated Draft),57379,,Bauernbund des Kantons Zürich,,Electoral system | Parliament | none,53.25,390216,24.38,75.62,no,
194,Country,Switzerland,57,1900-11-04,"Citizen's initiative ""Proportional election of the Federal Council and an increase in the number of its members""",Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',Initiative populaire tendant à l'introduction du système proportionnel dans les élections au Conseil national,Iniziativa popolare per l'elezione proporzionale del Consiglio nazionale,,,,,,,None,747262,0,439111,17539,7898,169008,244666,10.5,11.5,none,,,0,,0,Initiative (Formulated Draft),64675,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,Electoral system | Parliament | none,58.75,413674,40.86,59.14,no,
195,Country,Switzerland,58,1900-11-04,"Citizen's initiative ""Proportional election of the National Council""",Eidgenössische Volksinitiative 'für die Volkswahl des Bundesrates und die Vermehrung der Mitgliederzahl',Initiative populaire tendant à la nomination du Conseil fédéral par le peuple,Iniziativa popolare per l'elezione popolare del Consiglio federale e l'aumento del numero dei consiglieri federali,,,,,,,None,747262,0,439498,15734,7316,145926,270522,8,14,none,,,0,,0,Initiative (Formulated Draft),56350,,Katholisch-Konservative und Sozialdemokratische ParteiParti socialiste suisse et catholiques-conservateurs,,"Electoral system | Government, administration | Citizens' rights",58.81,416448,35.04,64.96,no,
196,Country,Switzerland,43,1894-11-04,"Citizen's initiative ""Sharing of a portion of customs revenue among the cantons""",Eidgenössische Volksinitiative 'zur Abgabe eines Teils der Zolleinnahmen an die Kantone',Initiative populaire tendant à faire répartir  entre les cantons  une partie des recettes des douanes,Inizitiativa popolare concernente la ripartizione fra i Cantoni di una parte dei proventi doganali,,,,,,,None,690250,0,502864,5524,1239,145462,350639,8.5,13.5,none,,,0,,0,Initiative (Formulated Draft),67828,,Foederalisten und Berner Konservative,,Intergovernmental relations | Financial system | none,71.88,496101,29.32,70.68,no,
197,Country,Switzerland,42,1894-06-03,"Citizen's initiative ""Guarantee of the right to work""",Eidgenössische Volksinitiative 'zur Gewährleistung des Rechts auf Arbeit',Initiative populaire concernant le droit au travail,Iniziativa popolare concernente il diritto al lavoro,,,,,,,None,680731,0,392027,5865,1993,75880,308289,,22,none,,,0,,0,Initiative (Formulated Draft),52387,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,Employment policy | Unemployment insurance | Fundamental rights,57.59,384169,19.75,80.25,no,
198,Country,Switzerland,40,1893-08-20,"Citizen's initiative ""Prohibition of ritual slaughter without prior anaesthetisation""",Eidgenössische Volksinitiative 'für ein Verbot des Schlachtens ohne vorherige Betäubung',Initiative populaire concernant l'interdiction de l'abatage des animaux sans étourdissement préalable,Iniziativa popolare concernente il divieto della macellazione rituale,,,,,,,None,668913,0,328983,8600,1755,191527,127101,11.5,10.5,none,,,0,,0,Initiative (Formulated Draft),83159,,Kantonale Tierschutzvereine von Bern und Aargau sowie Antisemiten,,Livestock | Religion - churches | none,49.18,318628,60.11,39.89,yes,
199,Country,Switzerland,22,1880-10-31,Federal decree on the proposal made in the citizen's initiative of 3 August 1880 for revision of the Federal Constitution,Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung ,Arrêté fédéral concernant la proposition de révision de la constitution fédérale  soulevée par l'initiative populaire en date du 3 août 1880 ,Risoluzione federale concernente la proposta di revisione della Costituzione avanzata per iniziativa popolare dal 3 agosto 1880,,,,,,,None,641576,0,0,5305,0,121099,260126,4.5,17.5,none,,,0,,0,Constitutional Initiative (Total Revision),0,,,Trotz seines Partialcharakters wurde das Begehren als Initiative auf Totalrevision der Bundesverfassung gedeutet  weil weder die Bundesverfassung noch deren Materialien eine Partialrevisionsinitiative zuliessen; infolgedessen spielte für die Volksabstimmung gemäss Art. 120 BV das Ständemehr keine Rolle. Der Hinweis auf Standesstimmen in BBl 1925 III  nach 828  S. 18 Nr.14 sowie in der ganzen seitherigen Tradition ist daher irreführend. Despite its partial-like character  the initiative was interpreted as a demand for a total revision of the Federal Constitution  as neither the Constitution nor its materials allowed for an initiative on a partial-revision.,Monetary policy | Intergovernmental relations | National bank,0,381225,31.77,68.23,no,
